uql_query,natural_query
[ds6w:resourceUid]:(c0f9b128-a344-4f15-a869-ace568108990 OR 95f9758e-592d-4b2c-8884-df96c5ebe271 OR 2a89a631-45b9-4dcb-9e54-13b32a499149 OR 6ce42395-8598-41be-bd7e-fedf7678adf4),"Retrieve documents with resource UIDs c0f9b128-a344-4f15-a869-ace568108990, 95f9758e-592d-4b2c-8884-df96c5ebe271, 2a89a631-45b9-4dcb-9e54-13b32a499149, or 6ce42395-8598-41be-bd7e-fedf7678adf4."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:S_Kmw3Q8RxSJo3Dkzrv90A"")","""Retrieve documents with resource UID 'wym:215dsi0708:DSEXT001:community:S_Kmw3Q8RxSJo3Dkzrv90A'."""
[ds6w:resourceUid]:(a8641aa6-ae07-4496-9737-008991bb3604 OR 43d56d6d-80ed-4100-b16a-856d1b7dead2 OR b89c4c46-1f52-4c47-84c4-92d05a4f3a91 OR 216c5c0a-a14b-45c1-8f3f-2c2aa8b10d6a OR 320fb25c-7217-4839-9b03-86ff47b14376 OR 9281aabf-0cd7-47e3-8688-cfcd3a725067),"""Retrieve documents with resource UID a8641aa6-ae07-4496-9737-008991bb3604, 43d56d6d-80ed-4100-b16a-856d1b7dead2, b89c4c46-1f52-4c47-84c4-92d05a4f3a91, 216c5c0a-a14b-45c1-8f3f-2c2aa8b10d6a, 320fb25c-7217-4839-9b03-86ff47b14376, or 9281aabf-0cd7-47e3-8688-cfcd3a725067."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2062"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2016-12-14 08:51:01"") OR ([ds6w:modified]>""2024-05-13 15:14:29"")))","""Find documents with container UID 'wym:215dsi0708:DSEXT001:community:2062, which are either a Post, Idea, or Question, or a WikitreePage with visibility set to 1, and modified between December 14, 2016, 8:51:01 AM and May 13, 2024, 3:14:29 PM."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:M8Kxk7XLQ1i0UybOw9HzAw"")","""Retrieve documents with resourceUid matching swym:215dsi0708:DSEXT001:community:M8Kxk7XLQ1i0UybOw9HzAw."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1613"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2015-09-17 17:46:42"") OR ([ds6w:modified]>""2018-11-19 14:40:21"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:1613' that are of type 'Post', 'Idea', or 'Question' or are 'WikitreePage' with visibility 1, and created before 17:46:42 on 2015-09-17 or after 14:40:21 on 2018-11-19."""
"[ds6w:resourceUid]:(""iam:ake19"")",Retrieve documents with resourceUid iam:ake19.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:GvR9U9lIR1ya35nHMsP22A"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-05-06 17:02:31"") OR ([ds6w:modified]>""2024-05-20 07:48:17"")))","""Retrieve all documents in container 'wym:215dsi0708:DSEXT001:community:GvR9U9lIR1ya35nHMsP22A' that are of type 'wym:Post', 'wym:Idea', or 'wym:Question', or a WikitreePage with visibility 1, and modified before '2021-05-06 17:02:31' or after '2024-05-20 07:48:17'."""
"[ds6w:modified] >= ""2024-05-21T03:25:16Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)","""Retrieve files and folders modified after May 21st, 2024, 03:25:16 AM that are either Drive Files or Drive Folders."""
[ds6w:label]:(DELMIA AIRPORT*),Find documents with labels containing the
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:WiVmUkuTSuqMQ0dwHrTZ4Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-05-27 08:19:37"") OR ([ds6w:modified]>""2024-05-20 20:32:49"")))","""Retrieve documents from the community 'WiVmUkuTSuqMQ0dwHrTZ4Q' that are of type 'Post', 'Idea', or 'Question', or are Wikitree pages with visibility set to 1, and were modified before '2019-05-27 08:19:37' or after '2024-05-20 20:32:49'."""
[ds6w:resourceUid]:(ea1b33a6-b2c5-4ed8-9e34-29474037d4e8 OR 145062ba-7c26-49f4-956c-646f6f396881 OR c2f401d5-cbfe-480f-80b4-84c2ea29a77e OR c806f8e6-65ab-44f0-ad35-ececa2a9609b),"Retrieve documents with resourceUid equal to ea1b33a6-b2c5-4ed8-9e34-29474037d4e8, 145062ba-7c26-49f4-956c-646f6f396881,  c2f401d5-cbfe-480f-80b4-84c2ea29a77e, or c806f8e6-65ab-44f0-ad35-ececa2a9609b."
"[ds6w:resourceUid]:(""iam:b82"")",Retrieve documents with resourceUid equal to iam:b82.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1dfbsBkKR7SreOmju0vEqQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-01-10 13:17:46"") OR ([ds6w:modified]>""2020-01-16 15:47:33"")))","""Retrieve all documents within the container 'wym:215dsi0708:DSEXT001:community:1dfbsBkKR7SreOmju0vEqQ' that are of type 'Post', 'Idea', or 'Question', or are of type 'WikitreePage' with visibility set to 1, and were modified between January 10, 2020 13:17:46 and January 16, 2020 15:47:33."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:IxEnDadbSVSGV2Z_zjt7gw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-11-18 16:40:29"") OR ([ds6w:modified]>""2023-11-27 09:57:19"")))","""Find documents from container swym:215dsi0708:DSEXT001:community:IxEnDadbSVSGV2Z_zjt7gw, where type is either Post, Idea, or Question, or a WikitreePage with visibility set to 1, and created before November 18, 2022 16:40:29 or after November 27, 2023 09:57:19."""
"[ds6w:resourceUid]:(""iam:ho3"" BOR ""iam:yxo"")","Retrieve resources with resourceUid equal to ""iam:ho3"" or ""iam:yxo""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:Yp5nzob2Q9uelOSzi8wqxw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-01-06 08:10:37"") OR ([ds6w:modified]>""2024-05-16 13:25:56"")))","Retrieve documents in the community Yp5nzob2Q9uelOSzi8wqxw with type swym:Post, swym:Idea, or swym:Question, or with type swym:WikitreePage and wiki visibility 1, where the modification date is before January 6, 2022, 8:10:37 AM or after May 16, 2024, 1:25:56 PM."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:fB-pw6TtRc6XkXLXsvARYw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-02-24 15:04:05"") OR ([ds6w:modified]>""2024-05-20 12:50:52"")))","""Retrieve posts, ideas, questions, or Wikitree pages in the community 'fB-pw6TtRc6XkXLXsvARYw' that are either publicly visible or modified between February 24, 2020, 15:04:05 and May 20, 2024, 12:50:52."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:lbbwP7ZoT8CNg3OsjXXQ2Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-04-18 12:51:24"") OR ([ds6w:modified]>""2022-07-13 19:55:18"")))","""Retrieve swym:Post, swym:Idea, swym:Question, and swym:WikitreePage with wiki visibility of 1, created in swym:215dsi0708:DSEXT001:community:lbbwP7ZoT8CNg3OsjXXQ2Q, and modified between 2019-04-18 12:51:24 and 2022-07-13 19:55:18."""
"[ds6w:modified] >= ""2024-05-17T14:49:37Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)",Retrieve documents modified on or after 2024-05-17T14:49:37Z that are either Drive Files or Drive Folders.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:ZWxsTAW3QlO0cE4Mzw8ipw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-11-13 16:48:31"") OR ([ds6w:modified]>""2022-05-23 08:45:41"")))","""Retrieve posts, ideas, or questions from the community 'ZWxsTAW3QlO0cE4Mzw8ipw' that are either of type post, idea, or question, or are of type WikitreePage and have visibility 1, created before November 13, 2019, 16:48:31 or after May 23, 2022, 08:45:41."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:wVBs1htbRRCuFM9c3iaCwQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-01-28 18:16:33"") OR ([ds6w:modified]>""2024-05-20 19:06:27"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:wVBs1htbRRCuFM9c3iaCwQ' that are either of type 'wym:Post', 'wym:Idea', 'wym:Question' or 'wym:WikitreePage' with wiki visibility 1, created before January 28, 2021, 18:16:33 or after May 20, 2024, 19:06:27."""
context_name:(Create 3DPart*),"""Find documents with context name containing 'Create 3DPart'."""
"([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:hOQhzYEDR_OVUcxW_Z901w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1)))","""Retrieve documents from community hOQhzYEDR_OVUcxW_Z901w with type swym:Post, swym:Idea, or swym:Question, or wikitree page with wiki visibility set to 1."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:tVFMrc2EQlyNCQKuSj5CAQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-06-04 04:11:39"") OR ([ds6w:modified]>""2024-04-24 06:21:25"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:tVFMrc2EQlyNCQKuSj5CAQ' and type 'Post', 'Idea', or 'Question', or a WikitreePage with visibility 1, modified before '2020-06-04 04:11:39' or after '2024-04-24 06:21:25'."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:rt:13096"")","""Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:rt:13096."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:O4dK6-KwQMe_P2Hyt0LqOw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-07-22 15:52:49"") OR ([ds6w:modified]>""2024-03-08 21:50:59"")))","""Retrieve documents from container swym:215dsi0708:DSEXT001:community:O4dK6-KwQMe_P2Hyt0LqOw that are of type Post, Idea, or Question, or are WikitreePages with visibility 1, and were modified before 2022-07-22 15:52:49 or after 2024-03-08 21:50:59."""
"NOT(physicalid:7B0B1D18577B0000618C215100141C68)AND NOT(type == ""Workspace Vault"")","""Retrieve documents that are not with physical ID 7B0B1D18577B0000618C215100141C68 and are not of type 'Workspace Vault'."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:EsujDYVaSj-u_EPjhms76w"")","""Retrieve resources with the resource UID swym:215dsi0708:DSEXT001:community:EsujDYVaSj-u_EPjhms76w."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:9MuUJ4ilQw6HPhx4d-tZIg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-06-05 05:18:08"") OR ([ds6w:modified]>""2024-05-20 04:41:19"")))","""Give me documents from the container 'wym:215dsi0708:DSEXT001:community:9MuUJ4ilQw6HPhx4d-tZIg' that are of type 'Post', 'Idea', or 'Question' or are of type 'WikitreePage' with visibility 1, and were modified before 2019-06-05 05:18:08 or after 2024-05-20 04:41:19."""
[ds6w:label]:クラウド　ライセンス,"Search for documents with label ""クラウド ライセンス""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:xgEwsefCScKJnjpeOlLXRA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2024-02-01 20:13:45"") OR ([ds6w:modified]>""2024-05-03 16:06:20"")))","""Retrieve documents from the community 'xgEwsefCScKJnjpeOlLXRA' with type 'Post', 'Idea', or 'Question', or 'WikitreePage' with visibility 1, modified before 'February 1, 2024 20:13:45' or after 'May 3, 2024 16:06:20'."""
"[ds6w:resourceUid]:(""iam:aje5"")",Retrieve documents with resourceUid equal to iam:aje5.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:-ZM5sgIxTt2jBRwvsJa3uQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-04-04 07:53:53"") OR ([ds6w:modified]>""2023-10-20 14:29:58"")))","""Retrieve documents from container ID swym:215dsi0708:DSEXT001:community:-ZM5sgIxTt2jBRwvsJa3uQ, which are of type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with visibility 1, created before 2023-04-04 07:53:53 or after 2023-10-20 14:29:58."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:LYTaYCD9S4uSmGfaJJvDKA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-03-16 19:56:06"") OR ([ds6w:modified]>""2024-05-16 10:08:58"")))","""Give me posts, ideas, or questions from the container 'wym:215dsi0708:DSEXT001:community:LYTaYCD9S4uSmGfaJJvDKA' that were created before March 16, 2020, or after May 16, 2024, and are publicly visible wiki pages."""
"project AND ([ds6w:type]:(""dsplan:Project"" OR ""dsplan:xProject"" OR ""dsplan:ProjectPlanningTemplate"" OR ""dsplan:AgileProject""))","""Give me projects that are of type dsplan:Project, dsplan:xProject, dsplan:ProjectPlanningTemplate, or dsplan:AgileProject."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:_xjrXuVxSASq8MVuZDry2Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-11-19 13:15:18"") OR ([ds6w:modified]>""2024-05-21 04:28:17"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:_xjrXuVxSASq8MVuZDry2Q' that are of type 'Post', 'Idea', or 'Question' or are 'WikitreePage' with visibility set to 1, and modified between November 19, 2019 and May 21, 2024."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:330"")","Retrieve documents with resourceUid matching ""swym:215dsi0708:DSEXT001:community:330""."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1577"")",Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:1577.
"[ds6w:type]:""foaf:Group"" AND [ds6w:label]:""ds-swym-suggestions-beta""",Retrieve documents of type foaf:Group and with label ds-swym-suggestions-beta.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1zs674Y7QAiJErqWuLzKww"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-08-29 18:53:34"") OR ([ds6w:modified]>""2024-05-16 13:59:35"")))","""Give me documents from swym:215dsi0708:DSEXT001:community:1zs674Y7QAiJErqWuLzKww that are of type swym:Post, swym:Idea, or swym:Question, or are swym:WikitreePage with visibility 1, and were modified before August 29, 2022 18:53:34 or after May 16, 2024 13:59:35."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:7V4pn39HSRyKjoL0JTdLXw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-08-01 23:35:27"") OR ([ds6w:modified]>""2024-05-15 04:43:45"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:7V4pn39HSRyKjoL0JTdLXw' that are either of type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with visibility set to 1, and whose modification date is before August 1, 2019 23:35:27 or after May 15, 2024 04:43:45."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1063"")",Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:1063.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:S16WGDjYRxWEoNIZp2VRnQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-08-04 20:36:26"") OR ([ds6w:modified]>""2024-05-20 15:55:37"")))","""Retrieve posts, ideas, or questions from the community 'wym:215dsi0708:DSEXT001:community:S16WGDjYRxWEoNIZp2VRnQ' that are publicly visible and were modified before August 4, 2020, or after May 20, 2024."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:8zPaDYoER--tukJw3_QunQ"")","Retrieve documents with resource UID matching ""swym:215dsi0708:DSEXT001:community:8zPaDYoER--tukJw3_QunQ""."
"[ds6w:resourceUid]:(""iam:spc"")",Retrieve documents with resourceUid equal to iam:spc.
"[ds6w:resourceUid]:(""4f256afa-ee58-4d20-9cc5-68e0e30dc082"" BOR ""iam:vlm"" BOR ""iam:tje1"" BOR ""iam:lju"" BOR ""iam:gf3"" BOR ""9c5d8a9f-7368-4ce1-84c9-9670ddce1a9a"" BOR ""c65512d6-b990-4cd0-8ad3-6c0150a7d79f"" BOR ""iam:qsg"" BOR ""iam:abt12"" BOR ""iam:gzw"" BOR ""a3a604fb-af7f-446c-9b2b-e612de126fa9"" BOR ""iam:ace9"" BOR ""iam:za6"" BOR ""iam:hme4"" BOR ""iam:ga"" BOR ""iam:lds7"" BOR ""iam:alt4"" BOR ""iam:dmq"" BOR ""iam:jpu2"" BOR ""iam:jcy5"" BOR ""iam:bpr"" BOR ""d0741d71-a8a9-4fb1-b494-4aa94b9b44ea"" BOR ""iam:jbz"" BOR ""iam:ju2"" BOR ""iam:kbd2"" BOR ""iam:sxz"" BOR ""iam:agy"" BOR ""iam:l9t"" BOR ""iam:cvi"" BOR ""iam:fme1"" BOR ""iam:bg9"" BOR ""iam:alt3"" BOR ""iam:cge4"" BOR ""4cc27d5a-3660-4bb5-bf52-8b07b358eb36"" BOR ""iam:ntb"" BOR ""iam:ocl"" BOR ""iam:bcn11"" BOR ""f5e2fab3-f92f-4c3a-ae52-08f36dd96d43"" BOR ""iam:ubv"" BOR ""iam:hy"" BOR ""iam:aas2"" BOR ""iam:rgn3"" BOR ""c5ce5ad5-3fdd-4041-b436-b4e03474a652"" BOR ""iam:iym"" BOR ""iam:cjy1"" BOR ""iam:mbe18"" BOR ""iam:wey"" BOR ""iam:pua"" BOR ""ca731de3-ac2c-4b5a-8e85-af341b1b1b77"" BOR ""iam:tts1"" BOR ""iam:vlf1"" BOR ""iam:ywx"")","Here is the natural language equivalent of the UQL query:

""Retrieve resources with resource UIDs 4f256afa-ee58-4d20-9cc5-68e0e30dc082, iam:vlm, iam:tje1, iam:lju, gf3, 9c5d8a9f-7368-4ce1-84c9-9670ddce1a9a, c65512d6-b990-4cd0-8ad3-6c0150a7d79f, iam:qsg, abt12, gzw, a3a604fb-af7f-446c-9b2b-e612de126fa9, ace9, za6, hme4, ga, lds7, alt4, dmq, jpu2, jcy5, bpr, d0741d71-a8a9-4fb1-b494-4aa94b9b44ea, jbz, ju2, kbd2, szx,agy, l9t, cvi, fme1, bg9, alt3, cge4, 4cc27d5a-3660-4bb5-bf52-8b07b358eb36, ntb, ocl, bcn11, f5e2fab3-f92f-4c3a-ae52-08f36dd96d43, ubv, hy, aas2, rgn3, c5ce5ad5-3fdd-4041-b436-b4e03474a652, iym, cjy1, mbe18, wey, pua, ca731de3-ac2c-4b5a-8e85-af341b1b1b77, tts1, vlf1, ywx either individually or combined."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:IV_0Kz2uRgWQLhCrWdsaQQ"")","""Retrieve documents with resource UID matching swym:215dsi0708:DSEXT001:community:IV_0Kz2uRgWQLhCrWdsaQQ."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:510"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2011-11-24 19:12:50"") OR ([ds6w:modified]>""2011-12-15 10:16:53"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:510, of type swym:Post, swym:Idea, or swym:Question, or of type swym:WikitreePage and visibility set to 1, modified before 2011-11-24 19:12:50 or after 2011-12-15 10:16:53."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:AXmleQQXTEavsyKiaJZW8g"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-03-16 17:21:27"") OR ([ds6w:modified]>""2024-05-17 13:41:54"")))","""Retrieve documents in the 'wym:215dsi0708:DSEXT001:community:AXmleQQXTEavsyKiaJZW8g' container that are either posts, ideas, or questions, or are of type 'wym:WikitreePage' with visibility 1, and were modified before March 16, 2021 17:21:27 or after May 17, 2024 13:41:54."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:zx_7ynIsTbSTfoAKzaXf6w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-04-08 20:47:20"") OR ([ds6w:modified]>""2024-05-21 06:30:47"")))","""Retrieve posts, ideas, questions, or Wikitree pages from the community 'wym:215dsi0708:DSEXT001:community:zx_7ynIsTbSTfoAKzaXf6w' with type 'post', 'idea', or 'question', or types 'WikitreePage' with visibility set to 1, and modified date before April 8, 2020, 8:47:20 PM or after May 21, 2024, 6:30:47 AM."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:Wumv4TjITKynEFw64rxIpw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-05-29 16:42:41"") OR ([ds6w:modified]>""2024-05-20 17:21:28"")))","""Get all documents with container ID 'wym:215dsi0708:DSEXT001:community:Wumv4TjITKynEFw64rxIpw' that are either 'Post', 'Idea', or 'Question' or are 'WikitreePage' with visibility set to 1, and were modified before May 29th, 2021, or after May 20th, 2024."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:KEMp_ZtsQZWUxhdvCtyz-Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-02-14 09:59:58"") OR ([ds6w:modified]>""2024-05-20 08:36:17"")))","""Retrieve swym:Post, swym:Idea, swym:Question, and swym:WikitreePage documents with container UID swym:215dsi0708:DSEXT001:community:KEMp_ZtsQZWUxhdvCtyz-Q, visible in wiki and modified before 2020-02-14 09:59:58 or after 2024-05-20 08:36:17."""
"[ds6w:type]:""swym:community"" AND [ds6w:label]: (""3DS ITEROP User Community"")","Retrieve documents of type ""swym:community"" and labeled as ""3DS ITEROP User Community""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:wqZaAl09QVqDxzJ9oa_JQg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-05-16 09:55:28"") OR ([ds6w:modified]>""2018-06-27 07:58:24"")))","""Retrieve documents in the container UID 'wym:215dsi0708:DSEXT001:community:wqZaAl09QVqDxzJ9oa_JQg' that are either of type Post, Idea, or Question, or are Wikitree Pages with visibility set to 1, and are not modified between May 16th, 2018, 9:55:28 AM and June 27th, 2018, 7:58:24 AM or later."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2z7RH1beRyOtsbD7pZR96w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-06-30 13:29:05"") OR ([ds6w:modified]>""2024-04-29 14:59:45"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:2z7RH1beRyOtsbD7pZR96w' that are of type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with visibility level 1, and were modified before June 30, 2020 13:29:05 or after April 29, 2024 14:59:45."""
[ds6w:resourceUid]:(ac27adc5-2447-44c9-a6e3-e2eb559581e0 OR 0a25facd-3079-42be-a48e-8f4ecfa2f60a),Retrieve documents with resourceUid equal to ac27adc5-2447-44c9-a6e3-e2eb559581e0 or 0a25facd-3079-42be-a48e-8f4ecfa2f60a.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:btz5-VFLSZmvrdqkibP_-w"")","""Retrieve documents with resource UID matching swym:215dsi0708:DSEXT001:community:btz5-VFLSZmvrdqkibP_-w."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:SImoOPMhR0i4YY3uKIDHRw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-07-19 11:43:25"") OR ([ds6w:modified]>""2024-05-20 11:21:08"")))","Here is the natural language equivalent:

""Retrieve swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with wiki visibility 1 from container swym:215dsi0708:DSEXT001:community:SImoOPMhR0i4YY3uKIDHRw, modified before 2022-07-19 11:43:25 or after 2024-05-20 11:21:08."""
